,Course Numbers,Course Names
0,CRJU 4900 ,Cybercrime
1,CRJU 4415,Evidence-Based Cyber Security
2,CSC 4222 ,Introduction to Cybersecurity
3,CSC 4223 ,Privacy
4,CSC 4224 ,Ethical Hacking
5,CSC 4250 ,Malware Analysis and Defense
6,CSC 4251 ,Computer Forensics
7,CSC 4226 ,Introduction to Software Security
8,CIS 4000 ,Introduction to Computer Forensics
9,CIS 4150 ,Apprenticeship in Cybersecurity for FinTech
10,CIS 4680 ,Introduction to Information Security and Privacy
11,CIS 4688 ,Protecting Business Systems and Networks
12,CIS 4690 ,Information and Information Systems Security Risk Management
13,CRJU 8900 ,Cyber Crime Investigations
14,CSC 8222 ,Network Security
15,CSC 8224 ,Cryptography
16,CSC 8228 ,Privacy Aware Computing
17,CSC 8370 ,Data Security
18,CIS 8040,Fundamentals of Database Management Systems
19,CIS 8088,Network Security and Hacking
20,CIS 8085,Information and Information Systems Risk Management
21,CIS 8086,Protecting Information Assets
22,CIS 8087,Cloud Computing and Security
23,CIS 8394,Advanced Topics in Cybersecurity
24,CIS 8080,Security and Privacy of Information and Information Systems
