Majors,Degrees
"Applied Linguistics, M.A.",Master's
"Applied Linguistics, Ph.D.",Doctorate
"Arabic Language and Literature, Minor","Bachelor's, Minor"
"Art Education, B.F.A.",Bachelor's
"Art Education, M.A. Ed.",Master's
"Art Education, M.A.T.",Master's
"Art History, B.A. in Art",Bachelor's
"Art History, Dual Undergraduate/Graduate","Bachelor's, Dual Undergraduate/Graduate"
"Art History, M.A.",Master's
"Art Pathway, A.A. or A.S.",Associate
"Artificial Intelligence Business Innovation, Graduate Certificate",Graduate Certificate
"Artist Certificate, Concentration in Choral Conducting, ACERM",Graduate Certificate
"Artist Certificate, Concentration in Jazz Studies, ACERM",Graduate Certificate
"Artist Certificate, Concentration in Orchestral Conducting, ACERM",Graduate Certificate
"Artist Certificate, Concentration in Orchestral Instrument Performance, ACERM",Graduate Certificate
"Artist Certificate, Concentration in Organ Performance, ACERM",Graduate Certificate
"Artist Certificate, Concentration in Piano Performance, ACERM",Graduate Certificate
"Artist Certificate, Concentration in Voice Performance, ACERM",Graduate Certificate
"Artist Certificate, Concentration in Wind Band Conducting, ACERM",Graduate Certificate
"Arts Administration, B.I.S.",Bachelor's
"Asian Studies, B.I.S.",Bachelor's
"Astronomy, Ph.D.",Doctorate
"Bachelor of Music, Concentration in Composition, B.Mu.",Bachelor's
"Bachelor of Music, Concentration in Jazz Studies, B.Mu.",Bachelor's
"Bachelor of Music, Concentration in Music Education, B.Mu.",Bachelor's
"Bachelor of Music, Concentration in Music Performance, B.Mu.",Bachelor's
"Bachelor of Science, Concentration in Music Production & Audio Recording, B.S.",Bachelor's
Bachelor/J.D.,"Bachelor's, Dual Undergraduate/Graduate"
"Biology Pathway, A.S.",Associate
"Biology, B.S.",Bachelor's
"Biology, B.S./M.S.","Bachelor's, Dual Undergraduate/Graduate, Master's"
"Biology, M.S.","Dual Undergraduate/Graduate, Master's"
"Biology, Ph.D.",Doctorate
"Biomedical Science and Enterprise, B.I.S.",Bachelor's
"Biomedical Science and Enterprise, M.I.S.",Master's
"Birth Through Five, B.S.Ed.",Bachelor's
"Birth Through Five, Graduate Certificate",Graduate Certificate
"Business Administration Pathway, A.S.",Associate
"Business Analytics, Undergraduate Certificate","Bachelor's, Undergraduate Certificate"
"Business Economics, B.B.A.",Bachelor's
"Ceramics, B.F.A.",Bachelor's
"Ceramics, M.F.A.",Master's
"Chemistry Pathway, A.S.",Associate
"Chemistry, B.S.",Bachelor's
"Chemistry, B.S./M.S.","Bachelor's, Dual Undergraduate/Graduate, Master's"
"Chemistry, M.S.",Master's
"Chemistry, Ph.D.",Doctorate
"City and Regional Planning, J.D./M.C.R.P.",Doctorate
"Clinical Mental Health Counseling, M.S.",Master's
"Clinical Rehabilitation Counseling, M.S.",Master's
"Commercial Real Estate, M.S.",Master's
"Communication (Film/Video), M.A.",Master's
"Communication Sciences and Disorders, M.S.",Master's
"Communication Sciences and Disorders, Ph.D.",Doctorate
